1,Acholeplasma phage L2,Acholeplasma laidlawii,Acholeplasma,Acholeplasmataceae,Acholeplasmatales,Mollicutes,Tenericutes,Bacteria
2,Acholeplasma phage MV-L1,Acholeplasma laidlawii,Acholeplasma,Acholeplasmataceae,Acholeplasmatales,Mollicutes,Tenericutes,Bacteria
3,Achromobacter phage JWDelta,Achromobacter xylosoxidans,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
4,Achromobacter phage JWAlpha,Achromobacter xylosoxidans,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
5,Acidianus spindle-shaped virus 1,Acidianus brierleyi,Acidianus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,Archaea
6,Acidianus bottle-shaped virus,Acidianus convivator,Acidianus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,Archaea
7,Acidianus filamentous virus 1,Acidianus hospitalis,Acidianus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,Archaea
8,Acidianus filamentous virus 2,Acidianus pozzuoliensis,Acidianus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,Archaea
9,Acidianus filamentous virus 9,Acidianus uzoniensis,Acidianus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,Archaea
10,Acidithiobacillus phage AcaML1,Acidithiobacillus caldus,Acidithiobacillus,Acidithiobacillaceae,Acidithiobacillales,Gammaproteobacteria,Proteobacteria,Bacteria
11,Acinetobacter phage AP205,Acinetobacter,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
12,Acinetobacter phage Petty,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
13,Acinetobacter phage Presley,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
14,Acinetobacter phage IME_AB3,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
15,Acinetobacter bacteriophage AP22,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
16,Acinetobacter phage Bphi-B1251,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
17,Acinetobacter phage Abp1,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
18,Acinetobacter phage AB3,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
19,Acinetobacter phage AB1,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
20,Acinetobacter phage phiAB1,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
21,Acinetobacter phage IME-AB2,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
22,Acinetobacter phage vB_AbaM_Acibel004,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
23,Acinetobacter phage vB_AbaP_Acibel007,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
