,C,G,T,A,D,N,K,Y,R,M,S,W,H,V,B
>M11813.1,0.174171228,0.22245172,0.280749768,0.322627285,0,0,0,0,0,0,0,0,0,0,0
>L13696.1,0.148934392,0.170664438,0.323694108,0.356707062,0,0,0,0,0,0,0,0,0,0,0
>L06183.1,0.149486653,0.183162218,0.342915811,0.324435318,0,0,0,0,0,0,0,0,0,0,0
>L33769.1,0.188420815,0.171480063,0.327190809,0.312908313,0,0,0,0,0,0,0,0,0,0,0
>X98106.1,0.23904967,0.191556828,0.306112307,0.263281195,0,0,0,0,0,0,0,0,0,0,0
>AF065411.1,0.207651947,0.255409597,0.239171231,0.297767225,0,0,0,0,0,0,0,0,0,0,0
>AJ131519.1,0.156583305,0.199132123,0.296539911,0.347744661,0,0,0,0,0,0,0,0,0,0,0
>AE002163.1,0.183583407,0.222639011,0.304501324,0.289276258,0,0,0,0,0,0,0,0,0,0,0
>AB009866.2,0.143184947,0.192362503,0.290451921,0.374000628,0,0,0,0,0,0,0,0,0,0,0
>NC_001330.1,0.217677017,0.234105471,0.313126335,0.235091178,0,0,0,0,0,0,0,0,0,0,0
>NC_001331.1,0.312967751,0.301945843,0.191182474,0.193903933,0,0,0,0,0,0,0,0,0,0,0
>NC_001332.1,0.205071174,0.222123369,0.329033215,0.243772242,0,0,0,0,0,0,0,0,0,0,0
>NC_001335.1,0.316136681,0.306442052,0.193223321,0.184197946,0,0,0,0,0,0,0,0,0,0,0
>NC_001341.1,0.17590737,0.156980628,0.268314407,0.398797595,0,0,0,0,0,0,0,0,0,0,0
>NC_001365.1,0.080865466,0.148072042,0.400217575,0.370844917,0,0,0,0,0,0,0,0,0,0,0
>NC_001396.1,0.290503558,0.290229885,0.211412151,0.207854406,0,0,0,0,0,0,0,0,0,0,0
>NC_002014.1,0.189161703,0.216330089,0.343164318,0.251343891,0,0,0,0,0,0,0,0,0,0,0
>NC_001416.1,0.234258381,0.264318997,0.24712383,0.254298792,0,0,0,0,0,0,0,0,0,0,0
>NC_001418.1,0.212926453,0.240699469,0.34767701,0.198697068,0,0,0,0,0,0,0,0,0,0,0
>NC_001422.1,0.21481619,0.232825845,0.312662458,0.239695507,0,0,0,0,0,0,0,0,0,0,0
>NC_001426.1,0.241777265,0.236872475,0.277841893,0.243508367,0,0,0,0,0,0,0,0,0,0,0
>NC_001604.1,0.226306433,0.257680847,0.244535143,0.271477577,0,0,0,0,0,0,0,0,0,0,0
>NC_001609.1,0.246386786,0.248881624,0.245956641,0.258774948,0,0,0,0,0,0,0,0,0,0,0
>NC_001628.1,0.268115942,0.273968785,0.242474916,0.21516165,0.000278707,0,0,0,0,0,0,0,0,0,0
>NC_001697.1,0.192273219,0.207788595,0.272508113,0.327430073,0,0,0,0,0,0,0,0,0,0,0
>NC_001706.1,0.169808768,0.193261772,0.309714956,0.327214505,0,0,0,0,0,0,0,0,0,0,0
>NC_001741.1,0.139840066,0.225138405,0.367438999,0.26758253,0,0,0,0,0,0,0,0,0,0,0
>NC_001825.1,0.184407796,0.203898051,0.27250168,0.339192473,0,0,0,0,0,0,0,0,0,0,0
>NC_001835.1,0.168992303,0.176127377,0.33162279,0.32325753,0,0,0,0,0,0,0,0,0,0,0
>NC_001884.1,0.156811689,0.189538448,0.314553327,0.339096536,0,0,0,0,0,0,0,0,0,0,0
>NC_001890.1,0.239857651,0.245551601,0.273546856,0.241043891,0,0,0,0,0,0,0,0,0,0,0
>NC_001895.1,0.237638794,0.264043104,0.248325544,0.249992558,0,0,0,0,0,0,0,0,0,0,0
>NC_001901.1,0.245735849,0.265983827,0.237390836,0.250889488,0,0,0,0,0,0,0,0,0,0,0
>NC_001909.1,0.170214776,0.173238017,0.333501291,0.323045915,0,0,0,0,0,0,0,0,0,0,0
>NC_001942.1,0.136410125,0.153924827,0.316479161,0.393185886,0,0,0,0,0,0,0,0,0,0,0
>NC_001954.1,0.206647741,0.230423468,0.288029335,0.274899456,0,0,0,0,0,0,0,0,0,0,0
>NC_001956.1,0.234076985,0.211189458,0.291295804,0.263437753,0,0,0,0,0,0,0,0,0,0,0
>NC_001998.1,0.186133804,0.223669684,0.301170236,0.289026275,0,0,0,0,0,0,0,0,0,0,0
